Id,Date,Category,Paymentmode,Description,Amount,Cashback
1,2024-01-29,Education,Netbanking,School fees payment ,485.38,8.11
2,2024-01-17,Subscriptions,Credit Card,premium charges payment ,153.34,2.76
3,2024-01-25,Shopping,Netbanking,Gifts purchase ,743.01,3.01
4,2024-01-06,Loans,Debit Card,Monthly EMI payment ,637.38,15.14
5,2024-01-05,Loans,Netbanking,Monthly EMI payment ,828.92,6.7
6,2024-01-04,Subscriptions,Netbanking,monthly prime subscription ,384.13,0.35
7,2024-01-26,Entertainment,Credit Card,Movie ticket ,200.87,3.24
8,2024-01-04,Food,Cash,Weekly groceries shopping ,198.64,1.29
9,2024-01-17,Investments,Cash,Monthly LIC installment ,335.4,4.91
10,2024-01-26,Bills,Credit Card,Monthly electricity bill payment ,309.7,1.41
11,2024-01-20,Subscriptions,Credit Card,premium charges payment ,287.17,3.66
12,2024-01-06,Rent,Debit Card,Monthly apartment rent payment ,433.66,5.0
13,2024-01-22,Investments,Cash,Monthly LIC installment ,605.88,1.52
14,2024-01-09,Rent,Netbanking,Monthly apartment rent payment ,844.97,8.43
15,2024-01-28,Shopping,Cash,New clothes shopping ,888.74,10.63
16,2024-01-25,Rent,Credit Card,Monthly apartment rent payment ,978.81,12.15
17,2024-01-02,Loans,Debit Card,Monthly EMI payment ,246.39,4.87
18,2024-01-08,Rent,Credit Card,Monthly apartment rent payment ,187.69,0.44
19,2024-01-16,Investments,Cash,Monthly LIC installment ,663.47,8.23
20,2024-01-26,Rent,Netbanking,Monthly apartment rent payment ,718.89,11.68
21,2024-01-06,Transport,Debit Card,Monthly metro pass purchase ,605.86,14.44
22,2024-01-29,Entertainment,Credit Card,Concert tickets purchase ,230.58,1.03
23,2024-01-25,Rent,Credit Card,Monthly apartment rent payment ,98.13,0.01
24,2024-01-03,Investments,Netbanking,Monthly LIC installment ,242.06,0.84
25,2024-01-21,Health,Netbanking,Medicines purchase ,852.0,7.84
26,2024-01-22,Rent,Netbanking,Monthly apartment rent payment ,709.87,4.69
27,2024-01-27,Bills,Netbanking,Monthly mobile bill payment ,838.75,1.7
28,2024-01-28,Rent,Netbanking,Monthly apartment rent payment ,676.49,4.7
29,2024-01-20,Rent,Debit Card,Monthly apartment rent payment ,356.73,8.13
30,2024-01-25,Entertainment,Cash,Movie ticket ,200.38,4.81
31,2024-01-08,Subscriptions,Netbanking,monthly prime subscription ,833.18,16.32
32,2024-01-10,Rent,Cash,Monthly apartment rent payment ,15.71,0.23
33,2024-01-13,Bills,Debit Card,Monthly electricity bill payment ,339.78,5.19
34,2024-01-14,Bills,Netbanking,Monthly mobile bill payment ,587.65,7.19
35,2024-01-10,Loans,Debit Card,Monthly EMI payment ,64.81,1.05
36,2024-01-19,Transport,Debit Card,Taxi to office ,459.54,5.34
37,2024-01-11,Investments,Debit Card,Monthly SIP payment ,843.26,17.76
38,2024-01-15,Food,Debit Card,Healthy fruits ,973.23,2.22
39,2024-01-22,Loans,Netbanking,Monthly EMI payment ,863.68,6.03
40,2024-01-03,Shopping,Cash,New electronics purchase ,627.22,14.33
41,2024-01-17,Food,Debit Card,Healthy fruits ,735.06,5.17
42,2024-01-30,Subscriptions,Credit Card,monthly prime subscription ,585.92,11.56
43,2024-01-23,Rent,Netbanking,Monthly apartment rent payment ,824.85,11.6
44,2024-01-22,Food,Cash,Healthy fruits ,973.99,24.1
45,2024-01-27,Rent,Debit Card,Monthly apartment rent payment ,232.82,4.04
46,2024-01-15,Investments,Debit Card,Monthly LIC installment ,769.57,13.67
47,2024-01-19,Education,Credit Card,School fees payment ,130.09,0.49
48,2024-01-29,Food,Credit Card,Healthy fruits ,19.15,0.36
49,2024-01-06,Education,Debit Card,School fees payment ,593.17,1.89
50,2024-01-22,Shopping,Netbanking,Gifts purchase ,942.91,5.86
51,2024-01-21,Shopping,Cash,New electronics purchase ,714.64,11.24
